path,bytes,sha256,chassis,scripts,print_sections,print_boxes,wit_panel,loop_mark,closure_line,ta_brief,cc,lundy_boxes,sow_strip,award_strip,guide_tagged
Art_Teesside/Build/Printable_BUILD_Weekly_Evidence_Pack.html,25923,fc967ff81860,doc,1,0,0,0,0,0,,0,0,0,0,0
Art_Teesside/Build/START_HERE.html,10499,69b013075d7c,doc,0,0,0,0,0,0,,0,0,0,0,0
Art_Teesside/Build/Scheme_of_Work.html,7451,d19383002982,doc,0,0,0,0,0,0,,0,0,0,0,0
Art_Teesside/Build/Spring1_Printable_Weekly_Evidence_Pack.html,23211,50bb2fe92823,doc,1,0,0,0,0,0,,0,0,0,0,0
Art_Teesside/Build/Spring1_Scheme_of_Work.html,5464,3582fc81a759,doc,0,0,0,0,0,0,,0,0,0,0,0
Art_Teesside/Grow/GROW_ART_W1_The_Local_Canvas.html,99216,675deb822011,v5-art,6,14,0,0,0,1,v5,1,4,1,1,0
Art_Teesside/Grow/GROW_ART_W2_Studio_Skills_and_Safe_Practice.html,98784,473d2b89bef9,v5-art,6,14,0,0,0,1,v5,1,4,1,1,0
Art_Teesside/Grow/GROW_ART_W3_Independent_Studio_Challenge.html,100519,e329017fc4e4,v5-art,6,14,0,0,0,1,v5,1,4,1,1,0
Art_Teesside/Grow/GROW_ART_W4_Arts_Event_Attend_Capture_and_Review.html,100358,f287d0c26e52,v5-art,6,14,0,0,0,1,v5,1,4,1,1,0
Art_Teesside/Grow/GROW_ART_W5_Practitioner_Career_and_Inspiration.html,103272,37881e610526,v5-art,6,15,0,0,0,1,v5,1,4,1,1,0
Art_Teesside/Grow/GROW_ART_W6_Plan_and_Rehearse_the_Skill_Share.html,100077,aef5c537a1be,v5-art,6,14,0,0,0,1,v5,1,4,1,1,0
Art_Teesside/Grow/GROW_ART_W7_Deliver_the_Skill_Share_and_Curate.html,101619,576f66b03ab4,v5-art,6,15,0,0,0,1,v5,1,4,1,1,0
Art_Teesside/Grow/GROW_ART_W8_Reflect_Audit_and_Close_the_Loop.html,100225,99a4cdba3c3d,v5-art,6,14,0,0,0,1,v5,1,4,1,1,0
Art_Teesside/Grow/Printable_GROW_Evidence_Lundy_and_LAUNCH_Pack.html,29486,3072b2799e97,doc,1,0,0,0,0,0,,0,0,0,0,0
Art_Teesside/Grow/START_HERE.html,8229,21f8477fcd61,doc,0,0,0,0,0,0,,0,0,0,0,0
Art_Teesside/Grow/Scheme_of_Work.html,9476,d723c4eb7355,doc,0,0,0,0,0,0,,0,0,0,0,0
Art_Teesside/House_Standard_and_Safety.html,8974,2f802218a088,doc,0,0,0,0,0,0,,0,0,0,0,0
Art_Teesside/Launch/LAUNCH_ART_W1_Frame_the_Local_Challenge.html,99964,34f106f61223,v5-art,6,14,0,0,0,1,v5,1,4,1,1,0
Art_Teesside/Launch/LAUNCH_ART_W2_Practice_Careers_and_Pathways.html,102659,9da9327e97f2,v5-art,6,15,0,0,0,1,v5,1,4,1,1,0
Art_Teesside/Launch/LAUNCH_ART_W3_Implement_and_Critically_Develop.html,101746,64154fc7dc4d,v5-art,6,14,0,0,0,1,v5,1,4,1,1,0
Art_Teesside/Launch/LAUNCH_ART_W4_Arts_Experience_Attend_Analyse_and_Share.html,100877,dfab1ede0f0e,v5-art,6,14,0,0,0,1,v5,1,4,1,1,0
Art_Teesside/Launch/LAUNCH_ART_W5_Design_the_Leadership_Project.html,102981,8a6c6d90de48,v5-art,6,15,0,0,0,1,v5,1,4,1,1,0
Art_Teesside/Launch/LAUNCH_ART_W6_Pilot_Lead_and_Adapt.html,100563,eb379e27dc16,v5-art,6,14,0,0,0,1,v5,1,4,1,1,0
